현재 TO-BE Process,메뉴 Level1,메뉴 Level2,메뉴 Level3,Process Family,프로세스 차이 이유,검색 키워드,Evidence,Notes
"사업 기회 확보 ~ 구매 요청 : 제/상품","사업관리","계약/프로젝트","수불상품","수불상품 사업착수","수불 여부","사업; 계약; 프로젝트; 구매요청; 품목; 거래처","ProcessMapping No.01 maps opportunity, contract, project, item/vendor references, and purchase request into SCM lifecycle start.","구매요청까지 포함되어 구매와의 경계 확인 필요."
"구매 요청 ~ 입고 ~ 매입전표 : 제/상품","구매","구매요청","수불상품","수불상품 구매","수불 여부","구매요청; 발주; 입고; 매입; 매입전표; 수불상품","ProcessMapping No.02 and node order show purchase request, order, inbound, purchase closing, AP voucher.","워크숍에서는 구매요청으로 찾을 가능성이 높음."
"주문 등록 ~ 출고 ~ 매출전표 : B2B 국내","판매","주문관리","B2B 국내","수불상품 판매","판매채널","B2B; 국내; 주문; 출고; 매출전표; 판매","Matched to domestic B2B sales; runtime starts with 주문등록 and includes 출고요청 and 매출마감.","B2B는 매장/POS 판매가 아님을 명확히 해야 함."
"주문 반품 ~ 입고 ~ 반품전표 : B2B 국내","반품","반품관리","B2B 국내","판매반품","판매채널","B2B; 반품; 반품입고; 반품전표; 주문반품","Matched to B2B sales return; runtime has 반품주문등록, 출고반품요청, 반품확정.","B2C 반품과 같은 family, 채널만 다름."
"주문 등록 ~ 수출 출고 ~ 매출전표 : B2B 해외","판매","주문관리","B2B 해외/수출","수불상품 판매","판매채널","B2B; 해외; 수출; B/L; 수출출고; 주문; 매출전표","ProcessMapping No.05 combines overseas B2B sources and node order includes 수출이동지시 and B/L 기준 출고.","수출 자체를 Level2로 올릴지 워크숍 확인."
"주문 등록 ~ 출고 ~ 매출전표 : B2C","판매","주문관리","B2C 온라인","수불상품 판매","판매채널","B2C; 온라인; Cafe24; 이지어드민; 주문; 출고","ProcessMapping No.06 cites Cafe24, EasyAdmin OMS/WMS, ERP order and sales closing.","온라인판매 검색어가 중요."
"예약 판매 ~ 출고 ~ 매출전표 : B2C","판매","주문관리","예약판매","수불상품 판매","거래유형","예약판매; 선수금; PG; B2C; 주문; 출고","ProcessMapping No.07 adds reservation sale, PG settlement, prepayment handling and reversal.","예약판매는 B2C의 transaction variant."
"주문 반품 ~ 입고 ~ 반품전표 : B2C","반품","반품관리","B2C 온라인","판매반품","판매채널","B2C; 온라인반품; 반품; EasyAdmin; 반품전표","ProcessMapping No.08 shows online return request, OMS return collection, WMS return receipt.","B2B/B2C 반품은 같은 Level2 아래 구분."
"공연장/팝업 판매 ~ 출고 ~ 매출전표 : 제/상품","판매","현장판매","공연/팝업","공연/팝업 판매","판매채널","공연; 팝업; 현장판매; POS; 재고이동; 출고; 매출","ProcessMapping No.09 maps 행사장/팝업 flow; node order includes 공연장 출고, POS 주문입력, 잔여재고 이동.","주문관리보다 공연 판매로 찾을 가능성이 높아 Level2를 현장판매로 제안."
"이벤트 : 제/상품","판매","이벤트판매","현장수령/택배","이벤트 판매","거래유형","이벤트; 당첨자; 현장수령; 택배발송; Cafe24; 주문","Node order includes 이벤트 주문 접수, 이벤트 정보 확인, 당첨자 여부, 수령방식 구분.","이벤트운영으로 부를지 이벤트판매로 부를지 확인 필요."
"매장 판매 ~ 출고 ~ 매출전표 : 제/상품","판매","현장판매","매장/POS","매장 판매","판매채널","매장; POS; EasyChain; 이지체인; 매장판매; 매출마감","ProcessMapping No.11 cites POS/EasyChain sales sync and ERP order/shipment/sales closing.","B2B/B2C 판매와 혼동되지 않도록 Level3에 POS 명시."
"매장 간 재고이동 : 제/상품","재고","재고이동","매장간","수불상품 재고이동","거래유형","재고이동; 매장간; 창고간; POS; 위탁재고","Runtime nodes include 재고이동요청, 매장 재고이동 처리, 재고이동확정, 매장재고이동현황.","창고간 variantLabel과 process title의 매장 간 불일치 확인 필요."
"기타 출고 : 제/상품","재고","기타출고","무상/기타","수불상품 기타출고","거래유형","기타출고; 무상증정; 출고요청; 위탁; 증정품","ProcessMapping No.13 and runtime nodes include 무상 증정품 사용품의 and 기타출고확정.","출고관리로 통합할 수도 있으나 워크숍 검색은 기타출고가 직관적."
"기획사 로열티 정산 : 제/상품","정산","로열티정산","기획사/MG","로열티정산","거래유형","로열티; MG; 기획사; 정산; 상계; 매출집계","ProcessMapping No.14 maps to royalty/MG settlement and runtime has MG 차감/상계.","High-confidence workshop label."
"위탁 매출 정산","정산","위탁정산","위탁매출","위탁정산","거래유형","위탁; 위탁매출; 정산; 예외처리; 자동승인","ProcessMapping No.15 maps to consignment sales settlement.","High-confidence workshop label."
"수익배분 매출 정산","정산","수익배분정산","매출/비용","수익배분정산","거래유형","수익배분; 매출비용; MG; 정산; 상계","Derived from consignment/royalty settlement sources; runtime has 매출/비용 집계 and MG handling.","더존 1:1 source는 아님."
"사업기회 ~ 비용전표 생성 : 서비스","사업관리","서비스사업","비용전표","비수불 서비스 사업","서비스유형","서비스; 사업기회; 계약; 프로젝트; 지출결의; 비용전표","ProcessMapping No.17 states service business is contract/project/expense-voucher centric.","Level2를 계약/프로젝트로 둘지 서비스사업으로 둘지 확인 필요."
"구매 요청 ~ 매입전표 생성 : 서비스","구매","구매요청","서비스/비수불","비수불 서비스 구매","서비스유형","서비스구매; 구매요청; 검수; 매입전표; 비수불","ProcessMapping No.18 treats service purchase as purchase-to-AP without logistics-heavy stock inbound.","구매요청 아래 수불/비수불 구분이 워크숍에서 직관적일 가능성."
"주문 등록 ~ 매출전표 생성 : 서비스","판매","서비스매출","비수불","비수불 서비스 판매","수불 여부","서비스매출; 비수불; 플랫폼; 콘텐츠; 주문; 매출전표","ProcessDefinition separates no-shipment service sales from standard shipment sales.","수불 여부가 가장 큰 차이."
"프로젝트 정산 : 서비스","정산","프로젝트정산","서비스","서비스 프로젝트 정산","프로젝트","프로젝트; 서비스; 정산; 매출비용; MG; 상계","Runtime nodes are project revenue/cost aggregation, closing, MG and settlement.","정산 family에 넣되 프로젝트 검색어가 핵심."
"저장위치 등록","기준정보","저장위치","기준정보","기준정보 등록","기타","저장위치; 기준정보; 마스터; 재고기간마감; 납품처","ProcessDefinition maps to supporting master data / storage location registration.","워크숍에서 기준정보 섹션이 필요한지 확인."
"구매반품","반품","구매반품","구매","구매반품","거래유형","구매반품; 구매송장; 반품요청; 반품등록","Runtime nodes include purchase return request, purchase return registration, purchase invoice.","판매반품과 분리 권장."
"기타입고","재고","기타입고","일반","수불상품 기타입고","거래유형","기타입고; 입고요청; 재고증가; 위탁재고","Runtime nodes include 입고요청, 위탁 여부, ERP 재고(+), 입고처리.","구매입고와 혼동되지 않도록 기타입고 유지."
"일반 재고이동","재고","재고이동","일반","수불상품 재고이동","거래유형","재고이동; 일반; 입출고; 위탁; ERP재고","ProcessDefinition maps stock-movement and stock-transfer to 재고이동 variants.","stock-transfer와 통합 가능한 family."
"구매 요청 ~ 매입전표 생성 : 연구개발비/F&B/물류센터소모품","구매","구매요청","F&B/소모품","비수불/소모품 구매","서비스유형","F&B; 연구개발비; 물류센터소모품; 구매; 지출결의; 매입전표","Runtime local group is assigned to wf-purchase-request-to-ap; nodes are 구매진행, 지출결의, 전표조회승인.","상품유형이 아니라 지출/서비스 유형으로 구분하는 후보."
"구매 요청 ~ 매입전표 생성 : IT, S/W","구매","구매요청","IT/S/W","비수불 IT/SW 구매","서비스유형","IT; S/W; 소프트웨어; 구매요청; 지출결의; 매입전표","Runtime local group is assigned to wf-purchase-request-to-ap; nodes include 구매요청, 품의, 지출결의, 전표생성.","공식 source mapping 필요."
"구매 요청 ~ 매입전표 생성 : 인사/총무","구매","구매요청","인사/총무","비수불 일반관리 구매","서비스유형","인사총무; 총무; 구매요청; 지출결의; 매입전표","Runtime local group is assigned to wf-purchase-request-to-ap; nodes include 구매요청, 구매발주 품의, 지출결의, 전표생성.","Runtime variantLabel blank; metadata cleanup 필요."
